query,domain,intent
Someone is creating fake defamatory handles to harass me online.,CYBER,CYBERBULLYING
Sasural wale dahej ke liye pareshan kar rahe hain aur marte hain.,WOMEN,DOWRY
Kharab product ke liye kya kare?,CONSUMER,DEFECTIVE_PRODUCT
My stolen identity was used to open fraudulent bank accounts for money laundering.,CYBER,IDENTITY_THEFT
My company forces me to work 14 hours a day without any extra overtime pay.,LABOUR,WORKING_HOURS
Office me mere sath sexual harassment ho raha hai senior dwara.,WOMEN,SEXUAL_HARASSMENT
Kharab saman wapas nahi le rahe.,CONSUMER,DEFECTIVE_PRODUCT
"Sir mujhe teen mahine se paise nahi mile, financial problem ho rahi hai.",LABOUR,UNPAID_WAGES
PAN card details chori ho gaye aur loan nikal liya.,CYBER,IDENTITY_THEFT
Landlord rent le nahi raha hai bolta hai khali karo.,PROPERTY,RENT_DISPUTE
I am facing sexual harassment at my workplace by a colleague and management is ignoring my complaints.,WOMEN,SEXUAL_HARASSMENT
What are my rights regarding product warranty in India?,CONSUMER,WARRANTY
Someone hacked my WhatsApp account and is asking money from my contacts.,CYBER,ACCOUNT_HACKING
Someone is operating a business using my stolen PAN and GST details.,CYBER,IDENTITY_THEFT
My husband refuses to pay maintenance despite court orders.,WOMEN,MAINTENANCE
My gaming account was stolen and all my in-game items were transferred.,CYBER,ACCOUNT_HACKING
The coaching institute cancelled classes and denied refund.,CONSUMER,REFUND
The laptop motherboard failed within warranty but they say it is water damage falsely.,CONSUMER,WARRANTY
Fake loan app wale blackmail kar rahe hain.,CYBER,ONLINE_FRAUD
What legal action can be taken against cyberbullies?,CYBER,CYBERBULLYING
I cancelled my hotel booking in advance but they are keeping my advance payment.,CONSUMER,REFUND
Maintenance claim and spousal support dispute.,WOMEN,MAINTENANCE
WhatsApp hack karke paise mang raha hai.,CYBER,ACCOUNT_HACKING
Employer is creating a hostile work atmosphere to force me to quit.,LABOUR,WORKPLACE_HARASSMENT
Can a landlord lock the house over rent dispute?,PROPERTY,RENT_DISPUTE
GST misuse identity theft.,CYBER,IDENTITY_THEFT
I bought a mixer grinder that burned out on its first use.,CONSUMER,DEFECTIVE_PRODUCT
Aadhaar details leak aur misuse.,CYBER,IDENTITY_THEFT
Warranty claim legal help.,CONSUMER,WARRANTY
Recovery of security deposit legal action.,PROPERTY,SECURITY_DEPOSIT
I purchased an AC that fails to cool and has a manufacturing defect.,CONSUMER,DEFECTIVE_PRODUCT
Online shopping scam report.,CYBER,ONLINE_FRAUD
Refund ke liye kya kare?,CONSUMER,REFUND
Violation of court maintenance order dispute.,WOMEN,MAINTENANCE
Someone stole my biometric data and used it for unauthorized verification.,CYBER,IDENTITY_THEFT
Employer terminated my contract mid-term without breach.,LABOUR,WRONGFUL_TERMINATION
My husband earns a high salary but pays zero maintenance to me.,WOMEN,MAINTENANCE
Someone tricked me into sharing my OTP and stole fifty thousand rupees from my bank account.,CYBER,ONLINE_FRAUD
Physical abuse for dowry dispute.,WOMEN,DOWRY
Working hours rules in India.,LABOUR,WORKING_HOURS
Verbal abuse by boss in office.,LABOUR,WORKPLACE_HARASSMENT
Manager galat baat bolta hai office me.,WOMEN,SEXUAL_HARASSMENT
My laptop under active warranty broke and the service center is demanding heavy repair charges.,CONSUMER,WARRANTY
Sexual harassment complaint procedure.,WOMEN,SEXUAL_HARASSMENT
AC lagane nahi de raha malkin.,PROPERTY,TENANT_RIGHTS
Dahej ka case kaise kare?,WOMEN,DOWRY
Account hack ho gaya hai kya kare?,CYBER,ACCOUNT_HACKING
Cyber cell identity theft help.,CYBER,IDENTITY_THEFT
Bachho ka kharcha aur maintenance nahi de raha pati.,WOMEN,MAINTENANCE
Mujhse 12-14 ghante kaam karwate hain roz.,LABOUR,WORKING_HOURS
No salary credited for current month.,LABOUR,UNPAID_WAGES
My boss makes me work on all public holidays without holiday pay.,LABOUR,WORKING_HOURS
The microwave parts under warranty are not available with the service center for months.,CONSUMER,WARRANTY
Warranty dispute with manufacturer.,CONSUMER,WARRANTY
Security deposit complaint procedure.,PROPERTY,SECURITY_DEPOSIT
Dowry demand and threat report.,WOMEN,DOWRY
Salary pending since March.,LABOUR,UNPAID_WAGES
Dowry harassment and torture complaint by husband and in-laws.,WOMEN,DOWRY
Bullying at work.,LABOUR,WORKPLACE_HARASSMENT
Failed transaction refund query.,CONSUMER,REFUND
I am facing continuous domestic violence and cruelty from my in-laws.,WOMEN,DOMESTIC_VIOLENCE
Can I recover money lost in an online banking scam?,CYBER,ONLINE_FRAUD
Lottery scam fraud report.,CYBER,ONLINE_FRAUD
Customer care scam fraud.,CYBER,ONLINE_FRAUD
I was laid off without following proper retrenchment procedures.,LABOUR,WRONGFUL_TERMINATION
Mujhe office me torture kiya ja raha hai.,LABOUR,WORKPLACE_HARASSMENT
Landlord bina permission ke mere ghar me ghus jata hai.,PROPERTY,TENANT_RIGHTS
Pati kamata hai par maintenance nahi deta.,WOMEN,MAINTENANCE
Warranty period me kharab hua par free service nahi de rahe.,CONSUMER,WARRANTY
I fell victim to a fake investment app scam and lost all my savings.,CYBER,ONLINE_FRAUD
Gmail account hack ho gaya password change nahi ho raha.,CYBER,ACCOUNT_HACKING
Facebook cyberbullying complaint.,CYBER,CYBERBULLYING
Sasural wale marte hain aur taane dete hain.,WOMEN,DOMESTIC_VIOLENCE
What are my rights against unfair firing?,LABOUR,WRONGFUL_TERMINATION
Can police catch online fraudsters?,CYBER,ONLINE_FRAUD
Domestic violence complaint procedure.,WOMEN,DOMESTIC_VIOLENCE
Hostile work environment complaint.,LABOUR,WORKPLACE_HARASSMENT
Shift hours violation.,LABOUR,WORKING_HOURS
Warranty service delay.,CONSUMER,WARRANTY
My company makes us work without lunch breaks.,LABOUR,WORKING_HOURS
Online trollers pareshan kar rahe hain.,CYBER,CYBERBULLYING
Company does not provide weekly off days as per rules.,LABOUR,WORKING_HOURS
My manager fired me verbally over a phone call without any official letter.,LABOUR,WRONGFUL_TERMINATION
My company has not given me my salary for the last three months and now HR is ignoring my calls.,LABOUR,UNPAID_WAGES
What are my rights under domestic violence laws?,WOMEN,DOMESTIC_VIOLENCE
Substandard and defective product sold.,CONSUMER,DEFECTIVE_PRODUCT
Unpaid wages dispute with boss.,LABOUR,UNPAID_WAGES
Am I legally required to work on weekends without compensation?,LABOUR,WORKING_HOURS
My husband has deserted me without financial support and I need maintenance.,WOMEN,MAINTENANCE
The owner is holding my security deposit for six months without any valid reason.,PROPERTY,SECURITY_DEPOSIT
Online fraud ka FIR kaise kare?,CYBER,ONLINE_FRAUD
Lottery scam me paise chale gaye.,CYBER,ONLINE_FRAUD
Tenant non-payment of rent issue.,PROPERTY,RENT_DISPUTE
My manager passes inappropriate sexual comments and makes me feel unsafe at work.,LABOUR,WORKPLACE_HARASSMENT
Damaged product delivery issue.,CONSUMER,DEFECTIVE_PRODUCT
I paid money for an online product but the seller vanished without delivery.,CYBER,ONLINE_FRAUD
My husband verbally abuses and physically assaults me for trivial matters.,WOMEN,DOMESTIC_VIOLENCE
Deposit ka paisa ruka hua hai landlord nahi de raha.,PROPERTY,SECURITY_DEPOSIT
Cyber security account hacking help.,CYBER,ACCOUNT_HACKING
My landlord is refusing to conduct necessary structural repairs required for safe living.,PROPERTY,TENANT_RIGHTS
Someone is sharing my private chat screenshots publicly to humiliate me online.,CYBER,CYBERBULLYING
Social media par mujhe troll kiya ja raha hai aur gaali de rahe hain.,CYBER,CYBERBULLYING
What are my rights against sexual harassment at work?,WOMEN,SEXUAL_HARASSMENT
Maine saman return kiya tha par abhi tak refund nahi mila.,CONSUMER,REFUND
Sexual harassment verbal abuse report.,WOMEN,SEXUAL_HARASSMENT
Impersonation and identity theft report.,CYBER,IDENTITY_THEFT
Pani kaat diya rent ke chakkar me.,PROPERTY,RENT_DISPUTE
Office mein galat harkat karta hai manager.,WOMEN,SEXUAL_HARASSMENT
Can a tenant withhold last month's rent instead of security deposit?,PROPERTY,SECURITY_DEPOSIT
Landlord tenant dispute help.,PROPERTY,RENT_DISPUTE
Refund pending since last month.,CONSUMER,REFUND
Dowry harassment FIR query.,WOMEN,DOWRY
My landlord is refusing to return my security deposit even though I handed over the keys cleanly.,PROPERTY,SECURITY_DEPOSIT
Wrongful termination dispute.,LABOUR,WRONGFUL_TERMINATION
Dahej nahi layi bolkar ghar se nikal diya.,WOMEN,DOWRY
Client sexual harassment grievance.,WOMEN,SEXUAL_HARASSMENT
Boss stopped my salary for taking leave.,LABOUR,UNPAID_WAGES
Excessive working hours complaint.,LABOUR,WORKING_HOURS
Salary nahi mil rahi kya kare?,LABOUR,UNPAID_WAGES
How to legally recover security deposit from a landlord in India?,PROPERTY,SECURITY_DEPOSIT
What can I do against workplace bullying?,LABOUR,WORKPLACE_HARASSMENT
Maintenance kitna mil sakta hai kaise decide hota hai?,WOMEN,MAINTENANCE
Maintenance legal help.,WOMEN,MAINTENANCE
The landlord's agent is asking for extra commission to release my security deposit.,PROPERTY,SECURITY_DEPOSIT
Dowry defamation and harassment.,WOMEN,DOWRY
My supervisor is discriminating and harassing me based on my gender.,LABOUR,WORKPLACE_HARASSMENT
Achanak office se nikal diya bina reason ke.,LABOUR,WRONGFUL_TERMINATION
Mental harassment at job.,LABOUR,WORKPLACE_HARASSMENT
Domestic violence helpline query.,WOMEN,DOMESTIC_VIOLENCE
Dowry conditional return dispute.,WOMEN,DOWRY
Someone is sending malicious emails and harassing me online.,CYBER,CYBERBULLYING
Identity theft complaint portal.,CYBER,IDENTITY_THEFT
Pati daaru pee kar maarta hai.,WOMEN,DOMESTIC_VIOLENCE
The owner is refusing to return my advance rent and deposit after early termination.,PROPERTY,SECURITY_DEPOSIT
Workplace stalking and sexual harassment.,WOMEN,SEXUAL_HARASSMENT
Fake SIM card nikal liya mere ID par.,CYBER,IDENTITY_THEFT
I am facing constant harassment from management after complaining.,LABOUR,WORKPLACE_HARASSMENT
Can a company terminate an employee without notice?,LABOUR,WRONGFUL_TERMINATION
Domestic violence and abuse complaint.,WOMEN,DOMESTIC_VIOLENCE
SIM card fraud using stolen ID.,CYBER,IDENTITY_THEFT
Product warranty dispute.,CONSUMER,WARRANTY
Office me mental harassment ho raha hai.,LABOUR,WORKPLACE_HARASSMENT
My in-laws are mentally torturing me demanding gold and cash dowry items.,WOMEN,DOWRY
Landlord is cutting off water supply because of a dispute over rent amount.,PROPERTY,RENT_DISPUTE
Cyber fraud help.,CYBER,ONLINE_FRAUD
The owner is interfering in my personal life and violating my right to quiet enjoyment.,PROPERTY,TENANT_RIGHTS
Harassment by supervisor.,LABOUR,WORKPLACE_HARASSMENT
Paisa nahi mila company se.,LABOUR,UNPAID_WAGES
Tenant discrimination issue.,PROPERTY,TENANT_RIGHTS
Inappropriate behavior by senior staff.,LABOUR,WORKPLACE_HARASSMENT
Social media account hacking report.,CYBER,ACCOUNT_HACKING
What is the legal limit for working hours in India?,LABOUR,WORKING_HOURS
I was wrongfully terminated from my position after raising a safety concern.,LABOUR,WRONGFUL_TERMINATION
Biometric identity theft complaint.,CYBER,IDENTITY_THEFT
The microwave oven stopped working within a week of purchase.,CONSUMER,DEFECTIVE_PRODUCT
Bina permission ke dusre ko de diya room.,PROPERTY,RENT_DISPUTE
Someone cheated me through a fake UPI transaction request.,CYBER,ONLINE_FRAUD
Tenant rent nahi de raha 4 mahine se.,PROPERTY,RENT_DISPUTE
I received a fake payment link and money was debited from my account without authorization.,CYBER,ONLINE_FRAUD
Mujhe online threat mil rahe hain aur harass kar rahe hain.,CYBER,CYBERBULLYING
Defective product legal action.,CONSUMER,DEFECTIVE_PRODUCT
The landlord is disputing the inventory items included in the rented flat.,PROPERTY,RENT_DISPUTE
Dahej mang raha hai pati.,WOMEN,DOWRY
Can my family recover gifts given during wedding under dowry laws?,WOMEN,DOWRY
Office ke bahar stalk karta hai colleague.,WOMEN,SEXUAL_HARASSMENT
Employer terminated me without warning.,LABOUR,WRONGFUL_TERMINATION
