query,domain,intent
"My company has not given me my salary for the last three months and now HR is ignoring my calls.",LABOUR,UNPAID_WAGES
"Boss didn't pay my salary on time. It has been 45 days and no response.",LABOUR,UNPAID_WAGES
"Mujhe mera pichle 2 mahine ka salary nahi mila hai, kya karu?",LABOUR,UNPAID_WAGES
"My employer is withholding my final settlement and pending wages without any valid reason.",LABOUR,UNPAID_WAGES
"I worked overtime for weeks but my overtime pay and basic salary have not been credited.",LABOUR,UNPAID_WAGES
"Salary pending since March.",LABOUR,UNPAID_WAGES
"Company wala salary nahi de raha hai bolta hai baad me milega.",LABOUR,UNPAID_WAGES
"Where can I complain about unpaid salary in India?",LABOUR,UNPAID_WAGES
"My boss cut my salary arbitrarily and hasn't cleared my dues.",LABOUR,UNPAID_WAGES
"Pending wages complaint process.",LABOUR,UNPAID_WAGES
"Payment ruki hui hai 3 mahine se employer phone nahi utha raha.",LABOUR,UNPAID_WAGES
"Can an employer hold my salary for leaving the company abruptly?",LABOUR,UNPAID_WAGES
"My internship stipend has not been paid for months.",LABOUR,UNPAID_WAGES
"No salary credited for current month.",LABOUR,UNPAID_WAGES
"Sir mujhe teen mahine se paise nahi mile, financial problem ho rahi hai.",LABOUR,UNPAID_WAGES
"My dues are stuck with my employer.",LABOUR,UNPAID_WAGES
"Employer refused to pay my wages after I resigned.",LABOUR,UNPAID_WAGES
"Salary nahi aayi is mahine ki.",LABOUR,UNPAID_WAGES
"Delayed salary and unpaid bonus issues.",LABOUR,UNPAID_WAGES
"Company withheld my salary illegally.",LABOUR,UNPAID_WAGES
"Mera salary nahi mila complaint kaise kare?",LABOUR,UNPAID_WAGES
"Unpaid wages dispute with boss.",LABOUR,UNPAID_WAGES
"Factory owner is not giving weekly wages.",LABOUR,UNPAID_WAGES
"My salary was deducted fully and not paid.",LABOUR,UNPAID_WAGES
"Paisa nahi mila company se.",LABOUR,UNPAID_WAGES
"Pending salary recovery steps.",LABOUR,UNPAID_WAGES
"Employer didn't pay salary before firing me.",LABOUR,UNPAID_WAGES
"Salary withheld without notice.",LABOUR,UNPAID_WAGES
"Contractor didn't pay my daily wages.",LABOUR,UNPAID_WAGES
"My salary has been pending since Diwali.",LABOUR,UNPAID_WAGES
"Can I file a complaint for non-payment of wages?",LABOUR,UNPAID_WAGES
"Paisa nahi de raha manager.",LABOUR,UNPAID_WAGES
"Company is bankrupt and hasn't paid salaries.",LABOUR,UNPAID_WAGES
"Unpaid salary grievance.",LABOUR,UNPAID_WAGES
"Mera salary hold kar liya hai.",LABOUR,UNPAID_WAGES
"Salary payment delayed continuously.",LABOUR,UNPAID_WAGES
"Boss stopped my salary for taking leave.",LABOUR,UNPAID_WAGES
"Pending salary issue with startup.",LABOUR,UNPAID_WAGES
"Can a company refuse to pay salary for notice period served?",LABOUR,UNPAID_WAGES
"Salary nahi mil rahi kya kare?",LABOUR,UNPAID_WAGES
"My employer fired me suddenly today without any prior notice or valid reason.",LABOUR,WRONGFUL_TERMINATION
"Can my company terminate me overnight without notice?",LABOUR,WRONGFUL_TERMINATION
"Mujhe bina kisi notice ke job se nikal diya gaya.",LABOUR,WRONGFUL_TERMINATION
"I was wrongfully terminated from my position after raising a safety concern.",LABOUR,WRONGFUL_TERMINATION
"Company fired me suddenly saying performance is bad without giving warning.",LABOUR,WRONGFUL_TERMINATION
"Sudden job termination without notice.",LABOUR,WRONGFUL_TERMINATION
"Achanak office se nikal diya bina reason ke.",LABOUR,WRONGFUL_TERMINATION
"What are my rights against unfair firing?",LABOUR,WRONGFUL_TERMINATION
"My manager fired me verbally over a phone call without any official letter.",LABOUR,WRONGFUL_TERMINATION
"Illegal termination of employment.",LABOUR,WRONGFUL_TERMINATION
"Bina notice ke job se nikal diya mujhko.",LABOUR,WRONGFUL_TERMINATION
"Can an employer fire a pregnant employee abruptly?",LABOUR,WRONGFUL_TERMINATION
"I was laid off without following proper retrenchment procedures.",LABOUR,WRONGFUL_TERMINATION
"Terminated without cause.",LABOUR,WRONGFUL_TERMINATION
"Mujhe kal hi job se hata diya bina bataye.",LABOUR,WRONGFUL_TERMINATION
